,title,plot
10,Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.,A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power. When the narrator is exposed to the hidden agenda of Tyler's fight club, he must accept the awful truth that Tyler may not be who he says he is.,A young man leads a pretty humdrum life assessing car crashes to determine if his automobile company should issue recalls to fix problems. He also suffers from insomnia and takes to attending group therapy sessions for people who have survived various diseases. There he meets Marla who like him attends these sessions though she is neither a victim nor a survivor. His life changes when he meets Tyler Durden on a flight home. Tyler seems to be everything that he's not and together they create a men-only group for bare-knuckle fighting. It soon becomes all the rage with fight clubs springing up across the country and the group itself becoming an anti-capitalist domestic terrorist organization. Tyler and Marla develop a relationship leaving him often on the outside of what is going on. He soon finds that the group is out of control and after a major self-revelation decides there is only one way out.,An insomniac unnamed narrator needs a fantasy to escape from his deadly boring life, he tries joining a cancer support group however the only thing they do in the group is cry into each others chest, but then he is on a plane on his way back from what a viewer would assume is a business trip our unnamed narrator encounters Tyler Durden, a soap selling bad-ass who happens to run a secret fight club in the diner parking lot with his friend who follows 8 simple rules set out by Tyler, our unnamed narrator of course is taken into this scheme ran by Tyler.,Posing as a pitiful sufferer during fruitless late-night sessions in highly addictive support groups for terminal illnesses, an unhappy insomniac struggles to find meaning in his mundane and dysfunctional existence. Then, a fateful encounter with the anarchist philosopher and travelling soap salesman, Tyler Durden, changes his life, as--for the first time in a long while--the bored white-collar worker reconnects with his inner self. Much to his surprise, the formerly depressed loner finds himself deriving pleasure out of pain through bare-knuckle brawls in the Fight Club: an underground society of men who yearn to free themselves from the fetters of a cruel modern life. Now, he is ready to wage war. Are violence and freedom the two sides of the same coin?,A young urban professional who works for a major car manufacturer can't sleep. Although he doesn't have any of the associated afflictions, he stumbles across support groups as a means to let out whatever emotions he is feeling, which in turn allows him to sleep. But the use of these support groups is ruined when he meets a young woman named Marla Singer, who is also going to all these support group meetings. Because he knows she too is not afflicted with any of the maladies for which the groups exist, her presence has lessened the impact of the stories he hears. His life changes when he meets a soap manufacturer named Tyler Durden, who in many ways is the antithesis of the insomniac. Due to unusual circumstances with his own condo, the insomniac moves in with Tyler, who lives in a large dilapidated house in an otherwise abandoned part of town. After a bit of spontaneous roughhousing with Tyler in a bar parking lot, the insomniac finds it becomes a ritual between the two of them, which helps him cope with the other more difficult aspects of his life. The fights also attract a following, others who not only want to watch but join in. Understanding that there are other men like them, the insomniac and Tyler begin a secret fight club. As the fight club's popularity grows, so does its scope in all aspects. Marla becomes a circle not specifically of the fight clubs but of Tyler and the insomniac's collectives lives. As the nature of the fight clubs becomes out of control in the insomniac's view, the insomniac's life, in association, is one where he no longer understands what is happening around him, or how he can get out of it without harming himself."
11,Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.,Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.,The movie Forrest Gump follows the life events of a man who shares the name as the title of the film. Gump faces many tribulations throughout his life, but he never lets any of them interfere with his happiness. From wearing braces on his legs, to having a below average IQ and even being shot, Gump continues to believe that good things will happen and goes after his dreams. While several less than ideal things occur during Gump's life, he manages to turn each setback into something good for him, such as when he finally gets his braces off he discovers that he is capable of running faster than most other people. This skill allows Gump to not only escape his bullies while he is a child in Greenbow, but also to gain a football scholarship, save many soldiers' lives and become famous for his ability. While Gump eventually achieves the majority of the things he hoped to throughout the movie, it proved a much more difficult task to win the heart of his life-long friend Jenny Curran. The movie is centered on Forrest Gump and the incidences that occur during his life, but during each period in his lifetime he thinks back of Jenny and how important she is to him. Although the two characters grew up together and shared a very close friendship, as the movie progresses they grow apart. This upsets Gump who cares immensely for the girl who had a rough start in life, and it seems the two always end up back in each other's lives, often in extraordinary ways like meeting in the Reflection Pond in D.C. Even though Gump is the main character of the film, it similarly tells the story of Curran and the hardships she faces.,Slow-witted Forrest Gump has never thought of himself as disadvantaged, and thanks to his supportive mother, he leads anything but a restricted life. Whether dominating on the gridiron as a college football star, fighting in Vietnam or captaining a shrimp boat, Forrest inspires people with his childlike optimism. But one person Forrest cares about most may be the most difficult to save -- his childhood love, the sweet but troubled Jenny.,Forrest Gump, an innocent and kind-hearted Alabama boy, has been dealing with other people's unkindness nearly all his life. Having grown up with beautiful Jenny, his only friend, Forrest yearns to learn all about the ways of the world and embarks on a mission to find his true purpose in life. Thrust into downright extraordinary situations, Forrest finds himself present at some of the most pivotal events in the second half of the 20th century, rubbing shoulders with influential and historical figures, including John F. Kennedy, Richard Nixon, a nice young man from England named John Lennon, and even a handsome but still unknown Elvis Presley. Throughout his existence, Forrest has been encountering life's randomness; however, in this earth, no one is insignificant. With his presence alone, one builds his own place in this world, unknowingly changing the flow of things, while fate floats like a feather in the wind. But, in this life-altering journey, is Forrest meant to find his destiny, and be with Jenny?"
12,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
13,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
14,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.,Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.,Fleeing the evil Galactic Empire, the Rebels abandon their new base Zac Thru off saw in an assault with the Imperial AT-AT walkers on the ice world of Hoth. Ed Princess Leia, Han Solo, Chewbacca, and C-3PO escape in the Millennium Falcon, but are later captured by Darth Vader on Bespin. Meanwhile, Luke Skywalker and R2-D2 follow Obi-wan Kenobi's posthumous command, and receives Jedi trainingWe W from Master Yoda on the swamp world of Dagobah. Will Skywalker manage seeduee e to rescue his friends from the Dark Lord?,After receiving a vision from Obi-wan Kenobi and fleeing the ice world of Hoth with his friends after an Imperial attack, Luke Skywalker travels to the marsh planet of Dagobah, where he is instructed in the ways of the Force by the legendary Jedi Master Yoda. Meanwhile, Han Solo and Princess Leia make their way to planet Bespin, where they are greeted by Han's old friend, a shifty gambler named Lando Calrissian. Ambushed by the Empire shortly after their arrival, Han and his friends are imprisoned by Darth Vader. Luke leaves Dagobah to rescue his friends, and is met by Vader and a startling revelation.,In this movie, the battle to save the galaxy from the evil Darth Vader rages on. Han Solo, Princess Leia, and Chewbacca are tested in a devastating attack by the Imperial army and its AT-AT walkers. Meanwhile, Luke Skywalker seeks out the ancient Yoda to learn the secrets of the Jedi, secrets Luke will need when the Dark Side of the Force beckons him in a destiny-defining duel with Darth Vader.,The story of Luke Skywalker, Han Solo, Princess Leia, and the others did not end with the destruction of the Death Star, it continues in this movie. Imperial forces have since driven the Rebels to hide on the ice world of Hoth. But even on such an icy, backwater world, they cannot escape the evil Darth Vader's eyes for long, and he devastates the Rebel base in an assault with the Imperial AT-AT walkers. Luke flees to Dagobah to begin Jedi training with Master Yoda, while Han Solo, Chewbacca, Princess Leia, and C-3PO run the blockade of Imperial Star Destroyers in the Millennium Falcon. The Imperials pursue them across the galaxy and eventually catch up with them on Bespin. Now Darth Vader plans to use them as bait to lure Luke Skywalker to him, and turns Han Solo over to Boba Fett as a prize to be delivered to crime lord Jabba the Hutt. Luke learns a terrible family secret after losing a swordfight with the Dark Lord. Will he, and the others, escape the Empire's clutches?"
15,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
16,Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.,Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?,This film views the mob lives of three pivotal figures in the 1960's and 70's New York. Henry Hill is a local boy turned gangster in a neighborhood full of the roughest and toughest. Tommy DeVito is a purebred gangster, who turns out to be Henry's best friend. Jimmy Conway puts the two of them together, and runs some of the biggest hijacks and burglaries the town has ever seen. After an extended jail sentence, Henry must sneak around the back of the local mob boss, Paulie Cicero, to live the life of luxury he has always dreamed of. In the end, the friends end up in a hell of a jam, and must do anything they can to save each other, and stay alive.,The story of Irish-Italian American, Henry Hill, and how he lives day-to-day life as a member of the Mafia. Based on a true story, the plot revolves around Henry and his two unstable friends Jimmy and Tommy as they gradually climb the ladder from petty crime to violent murders.,The lowly, blue-collar side of New York's Italian mafia is explored in this crime biopic of wiseguy Henry Hill. As he makes his way from strapping young petty criminal, to big-time thief, to middle-aged cocaine addict and dealer, the film explores in detail the rules and traditions of organized crime. Watching the rise and fall of Hill and his two counterparts, the slick jack-of-all-trades criminal Jimmy Conway and the brutish, intimidating Tommy DeVito, this true story realistically explores the core, blue-collar part of the mob."
17,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched."
18,Seven Samurai,"A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,A veteran samurai, who has fallen on hard times, answers a village's request for protection from bandits. He gathers 6 other samurai to help him, and they teach the townspeople how to defend themselves, and they supply the samurai with three small meals a day. The film culminates in a giant battle when 40 bandits attack the village.,In the Sixteenth Century, in Japan, a poor village is frequently looted by armed bandits losing their crop of rice. Their patriarch Grandpa advises the villagers to hire a Ronin to defend their village. Four farmers head to town to seek out their possible protectors, but they just can offer three meals of rice per day and lodging for the samurai. They succeed in hiring the warming-hearted veteran Kambei Shimada that advises that they need six other samurai to protect their lands. Kambei recruits the necessary five samurai and the brave jester Kikuchiyo and move to the village. After a feared reception, Kambei plots a defense strategy and the samurai start training the farmers how to defend their lands and families for the battle that approaches.,Fed up with the annual hit-and-run raids by a marauding gang of ferocious bandits, the peaceful farmers of a small sixteenth-century Japanese community summon up the courage to take matters into their own hands, dispatching the hot-headed villager, Rikichi, to bring help. When the farmer returns to the village, seven battle-scarred ronin become the defenceless hamlet's new protectors, entrusted with the challenging task of teaching the inexperienced peasants how to fight, in exchange for a handful of rice and lodging. Undoubtedly, before the imminent attack of the mounted plunderers, the odds are stacked up against the farmers and their defenders; however, both have sworn to fight like lions for their freedom. Can the Seven Samurai pull off a surprise victory?,A village is constantly attacked by well armed bandits. One day after an attack they seek the wisdom of an elder who tells them they cannot afford weapons, but they can find men with weapons, samurai, who will fight for them, if they find samurai who are in down on their luck and wondering where their next meal will come from. They find a very experienced samurai with a good heart who agrees to recruit their party for them. He selects five genuine samurai and one who is suspect but the seven return to the village to protect it from the forty plus bandits.,In 16th century Japan, farmers in a small village face the prospect of again losing their crops to a band of roving thieves. Their solution is to go to the nearest city and see if they can hire samurai to protect them. The farmers are poor and can only offer food and lodging but they soon recruit Kambei Shimada who determines that they will need a total of seven samurai to properly guard the village. Slowly, he recruits other samurai for their task and once complete, move to the village. There they teach the farmers basic self defense and fortify the village itself. When the bandits attack, they are prepared but suffer many losses."
19,Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.,A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...,Taking place in a nameless city, Se7en follows the story of two homicide detectives tracking down a sadistic serial killer (Kevin Spacey) who chooses his victims according to the seven deadly sins. Brad Pitt stars as Detective David Mills, a hopeful but naive rookie who finds himself partnered with veteran Detective William Somerset (Morgan Freeman). Together they trace the killer's every step, witnessing the aftermath of his horrific crimes one by one as the victims pile up in rapid succession, all the while moving closer to a gruesome fate neither of them could have predicted.,Two police detectives - one, Somerset, about to retire and the other, Mills, just transferred into the precinct - investigate the murder of an obese man. On his wall was written the word ""Gluttony"". Then they are alerted to the murder of a lawyer. On his floor was written the word ""Greed"". Somerset suspects that the murders were the work of the same man, a man murdering people who have committed the seven deadly sins.,Two detectives, one about to leave and one entering find themselves following a series of murders, they find clues linking the deaths and the seven sins. The movie follows the cops, their family and tracking down the mass murderer who delivers an unforgettable ending.,This thriller portrays the exploits of a deranged serial killer. His twisted agenda involves choosing seven victims who represent egregious examples of transgressions of each of the Seven Deadly Sins. He then views himself as akin to the Sword of God, handing out horrific punishment to these sinners. Two cops, an experienced veteran of the streets (Morgan Freeman) who is about to retire and the ambitious young homicide detective (Brad Pitt) hired to replace him, team up to capture the perpetrator of these gruesome killings. Unfortunately, they too become ensnared in his diabolical plan...."
20,Life Is Beautiful,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.,In 1930s Italy, a carefree Jewish book keeper named Guido starts a fairy tale life by courting and marrying a lovely woman from a nearby city. Guido and his wife have a son and live happily together until the occupation of Italy by German forces. In an attempt to hold his family together and help his son survive the horrors of a Jewish Concentration Camp, Guido imagines that the Holocaust is a game and that the grand prize for winning is a tank.,In 1939, Jewish-Italian Guido Orefice comes into Arezzo, Italy, ultimately to open a book store. In the meantime, he will work as a waiter at the hotel restaurant where his Uncle Eliseo is the maître d'. In town, he meets a school teacher named Dora, who he calls Princess and who comes from a wealthy Italian family. For him, it's love at first sight. Despite she already being in a relationship with another man, Guido ultimately sweeps her off her feet. They get married and have a son they name Giosué. On Giosué's fifth birthday, World War II is in full force. Since they are Jewish, the Germans take away Guido, Eliseo and Giosué to a labor camp. Wanting to be with her family, Dora insists she be taken too, but she is housed in the women's side of the camp. To protect Giosué from the horror of what is happening to them, Guido tells him that they are playing a game, certain actions which garner points, other actions which take points away or disqualify one from the game. The first to reach 1,000 points wins the prize of a real tank. Guido's primary goal is to keep Giosué safe at all cost, while he tries to figure out a way to get his family out of the camp and keep the Germans at bay from learning what he is doing with Giosué.,A gentle Jewish-Italian waiter, Guido Orefice, meets Dora, a pretty schoolteacher, and wins her over with his charm and humor. Eventually they marry and have a son, Giosue. Their happiness is abruptly halted, however, when Guido and Giosue are separated from Dora and taken to a concentration camp. Determined to shelter his son from the horrors of his surroundings, Guido convinces Giosue that their time in the camp is merely a game.,On the threshold of a new dark era, the mirthful Jewish-Italian, Guido Orefice, arrives in late-1930s Arezzo, in high hopes of starting afresh. Dreaming of opening a small bookshop, instead, the free-spirited optimist finds true love in the person of his princess--the gentle local school teacher, Dora--and their sweet fairy-tale love story blooms into a happy married life and a son named Giosué. However, against the backdrop of the great war's atrocities and the Germans' retreat in 1945, the Fascists round up Guido, his child, and the town's Jews, and ship them to a nightmarish concentration camp to meet their fate at the hands of the Nazis. But, in Giosué's eyes, this strange new situation is nothing but an exciting challenge to win a glorious grand prize--resilient Guido's desperate attempt to shield the innocent boy from the horrors of the death camp. Will Giosué win the contest? Is life more beautiful beyond the grown-ups' absurd world?,It's 1939. The ebullient, playful Guido comes to town. He works as a waiter under the watchful eye of his uncle, an elegant man who is a Jew. Guido falls for Dora, a schoolteacher, whom he calls ""princess"" and courts by popping up at unexpected times. She dumps her fiancé to choose Guido. The film jumps ahead to the war's last months. Nora and Guido have a child, Giosué, and when Guido and the lad are shipped to a concentration camp, Dora voluntarily follows. Although the men and women in the camp are separated and a child is in mortal peril, Guido finds ways to communicate with Dora, to hide Giosué, and to convince the boy this is an elaborate game, a special contest to win a tank."
21,City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.,Brazil, 1960s, City of God. The Tender Trio robs motels and gas trucks. Younger kids watch and learn well...too well. 1970s: Li'l Zé has prospered very well and owns the city. He causes violence and fear as he wipes out rival gangs without mercy. His best friend Bené is the only one to keep him on the good side of sanity. Rocket has watched these two gain power for years, and he wants no part of it. he keeps getting swept up in the madness. All he wants to do is take pictures. 1980s: Things are out of control between the last two remaining gangs...will it ever end? Welcome to the City of God.,During their childhood, several children raised in one of the violent neighborhoods of Rio de Janeiro see galling and nettlesome behaviors that turn some into criminals and some into poltroons; while one photographer boy in the middle stays out of their informal war until it's finished and then narrates the complicated story of what happened in that neighborhood and the ascending process of crime between men who were once innocent children.,Set in a notorious slum of Rio - Cidade de Deus / City of God - the story of a boy who sees his friends and brother grow up or aspire to be gangsters, and decides to do something else. Meanwhile we also see the power struggles in the neighbourhood, how they developed, who the main protagonists are and the state of their feud.,City of God is based on a semiautobiographical novel with the same name originally published in 1997. It takes place in the '60s where in the slums of Rio de Janeiro two boys growing up in the neighborhood take on different paths in life. The story is told through the eyes of Buscape, a poor young fisherman's son who dreams of becoming a photographer one day. His story narrates the violence and corruption surrounding the city and the rise and fall of one of the city's most notorious bosses, Li'l Ze. As war wages on the streets Buscape's only way out of this violent life is to expose its brutality to the world through his pictures. Along the way the lives of others are put into perspective as their stories intersect with the events that take place.,Set in a lawless slum in Rio de Janeiro, ""City of God"" tells the story of Rocket, an aspiring photographer looking for his big break so he can leave the treacherous area once and for all. The movie chronicles Rocket's life as a young boy as he deals with his law bending brother and his gang, all the way to his teen years as a pseudo hippie. As the crime level soars in brutality, Rocket begins to realize his niche as a photographer is his only means of staying honest. With a psychopathic thug named ""Lil Ze"" looking to take over the slum, Rocket's career will take him on his most dangerous task of all."
22,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose."
23,It's a Wonderful Life,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin."
